crop_path,person_id,bmi
/kaggle/working/face_crops_m40/2a42h0_h6VenpC_225_71_false_30_1.0_m40_crop.jpg,2a42h0,31.38
/kaggle/working/face_crops_m40/2a42h0_z6VenpC_216_71_false_30_1.0_m40_crop.jpg,2a42h0,30.12
/kaggle/working/face_crops_m40/2xraoq_PbDJbcx_213_66_true_2_0.56_m40_crop.jpg,2xraoq,34.38
/kaggle/working/face_crops_m40/2xraoq_zbDJbcx_213_66_true_2_0.56_m40_crop.jpg,2xraoq,34.38
/kaggle/working/face_crops_m40/3xptz5_P2YhThW_167_67_false_223_1.0_m40_crop.jpg,3xptz5,26.15
/kaggle/working/face_crops_m40/3xptz5_P2YhThW_230_67_false_223_1.0_m40_crop.jpg,3xptz5,36.02
/kaggle/working/face_crops_m40/1u3m0n_8kWnagv_170_68_false_7_0.75_m40_crop.jpg,1u3m0n,25.85
/kaggle/working/face_crops_m40/1u3m0n_9kWnagv_170_68_false_7_0.75_m40_crop.jpg,1u3m0n,25.85
/kaggle/working/face_crops_m40/ii7sqk_oHplg_180_71_false_10_1.3_m40_crop.jpg,ii7sqk,25.1
/kaggle/working/face_crops_m40/ii7sqk_oHpjg_180_71_false_10_1.3_m40_crop.jpg,ii7sqk,25.1
/kaggle/working/face_crops_m40/1tjayb_zapS5xs_159_68_true_12_0.75_m40_crop.jpg,1tjayb,24.17
/kaggle/working/face_crops_m40/1tjayb_tapS5xs_159_68_true_12_0.75_m40_crop.jpg,1tjayb,24.17
/kaggle/working/face_crops_m40/1gbort_yKrnA0i_145_67_true_586_1.0_m40_crop.jpg,1gbort,22.71
/kaggle/working/face_crops_m40/1gbort_yKrnA0i_180_67_true_586_1.0_m40_crop.jpg,1gbort,28.19
/kaggle/working/face_crops_m40/13d1o7_xafWd_178_71_false_5_1.34_m40_crop.jpg,13d1o7,24.82
/kaggle/working/face_crops_m40/13d1o7_HafWd_178_71_false_5_1.34_m40_crop.jpg,13d1o7,24.82
/kaggle/working/face_crops_m40/2apebg_OjmSe8a_271_63_true_507_0.67_m40_crop.jpg,2apebg,48.0
/kaggle/working/face_crops_m40/2apebg_5aIIZX9_330_63_true_507_0.67_m40_crop.jpg,2apebg,58.45
/kaggle/working/face_crops_m40/25bcg4_Bt40ykF_265_74_false_25_1.0_m40_crop.jpg,25bcg4,34.02
/kaggle/working/face_crops_m40/25bcg4_Bt40ykF_235_74_false_25_1.0_m40_crop.jpg,25bcg4,30.17
/kaggle/working/face_crops_m40/19c7xl_SW2H7BV_172_70_false_3_0.75_m40_crop.jpg,19c7xl,24.68
/kaggle/working/face_crops_m40/19c7xl_zW2H7BV_172_70_false_3_0.75_m40_crop.jpg,19c7xl,24.68
/kaggle/working/face_crops_m40/47o8lj_SoLYC76_197_66_false_76_0.67_m40_crop.jpg,47o8lj,31.79
/kaggle/working/face_crops_m40/47o8lj_SoLYC76_176_66_false_76_0.67_m40_crop.jpg,47o8lj,28.4
/kaggle/working/face_crops_m40/1me4a5_ZBOVadF_184_67_false_69_2.08_m40_crop.jpg,1me4a5,28.82
/kaggle/working/face_crops_m40/1me4a5_vBOVadF_244_67_false_69_2.08_m40_crop.jpg,1me4a5,38.21
/kaggle/working/face_crops_m40/3hw855_gq9rCTP_186_71_false_53_1.78_m40_crop.jpg,3hw855,25.94
/kaggle/working/face_crops_m40/3hw855_gq9rCTP_193_71_false_53_1.78_m40_crop.jpg,3hw855,26.92
/kaggle/working/face_crops_m40/2wxtbq_vyzraLq_250_74_false_0_1.58_m40_crop.jpg,2wxtbq,32.09
/kaggle/working/face_crops_m40/2wxtbq_I3ZpfLd_235_74_false_0_1.58_m40_crop.jpg,2wxtbq,30.17
/kaggle/working/face_crops_m40/2n6cjq_jIf0jO0_227_67_true_68_1.3_m40_crop.jpg,2n6cjq,35.55
/kaggle/working/face_crops_m40/2n6cjq_jIf0jO0_256_67_true_68_1.3_m40_crop.jpg,2n6cjq,40.09
/kaggle/working/face_crops_m40/2xq9ys_WvFS7wc_174_74_false_2_0.74_m40_crop.jpg,2xq9ys,22.34
/kaggle/working/face_crops_m40/2xq9ys_zvFS7wc_174_74_false_2_0.74_m40_crop.jpg,2xq9ys,22.34
/kaggle/working/face_crops_m40/3xuegj_ABJWhDb_145_68_false_75_1.0_m40_crop.jpg,3xuegj,22.04
/kaggle/working/face_crops_m40/3xuegj_ABJWhDb_157_68_false_75_1.0_m40_crop.jpg,3xuegj,23.87
/kaggle/working/face_crops_m40/24dc4z_OpmBs3C_142_69_false_156_1.0_m40_crop.jpg,24dc4z,20.97
/kaggle/working/face_crops_m40/24dc4z_OpmBs3C_123_69_false_156_1.0_m40_crop.jpg,24dc4z,18.16
/kaggle/working/face_crops_m40/22ulf6_JIgcVO0_219_71_false_37_1.0_m40_crop.jpg,22ulf6,30.54
/kaggle/working/face_crops_m40/22ulf6_JIgcVO0_202_71_false_37_1.0_m40_crop.jpg,22ulf6,28.17
/kaggle/working/face_crops_m40/47biqi_kheuY8Q_308_66_true_331_1.57_m40_crop.jpg,47biqi,49.71
/kaggle/working/face_crops_m40/47biqi_kheuY8Q_188_66_true_331_1.57_m40_crop.jpg,47biqi,30.34
/kaggle/working/face_crops_m40/3fp5pl_zu9WrCd_315_77_false_152_1.0_m40_crop.jpg,3fp5pl,37.35
/kaggle/working/face_crops_m40/3fp5pl_zu9WrCd_230_77_false_152_1.0_m40_crop.jpg,3fp5pl,27.27
/kaggle/working/face_crops_m40/4g5zn8_x9lziRu_234_67_true_498_1.0_m40_crop.jpg,4g5zn8,36.65
/kaggle/working/face_crops_m40/4g5zn8_x9lziRu_254_67_true_498_1.0_m40_crop.jpg,4g5zn8,39.78
/kaggle/working/face_crops_m40/36lr0v_fkmAthG_170_74_false_6_0.56_m40_crop.jpg,36lr0v,21.82
/kaggle/working/face_crops_m40/36lr0v_kkmAthG_170_74_false_6_0.56_m40_crop.jpg,36lr0v,21.82
/kaggle/working/face_crops_m40/2lgkvf_rBJTlBD_205_69_false_38_1.0_m40_crop.jpg,2lgkvf,30.27
/kaggle/working/face_crops_m40/2lgkvf_rBJTlBD_163_69_false_38_1.0_m40_crop.jpg,2lgkvf,24.07
/kaggle/working/face_crops_m40/1n9x96_NqZ2mFr_165_68_false_48_0.58_m40_crop.jpg,1n9x96,25.09
